guid,name,link,auth,parent,organization
167,Books Catalog,http://www.slac.stanford.edu/library/catalog/catalog.html,No,Internal Databases,
168,Building Information,https://www-internal.slac.stanford.edu/database/sebdefault.htm,Yes,Internal Databases,
169,Cable Plant (CAPTAR),http://www.slac.stanford.edu/eprise/cable/captar/captar.html,No,Internal Databases,
170,CATER,https://oraweb.slac.stanford.edu/apex/slacprod/f?p=194:1,No,Internal Databases,
171,Online Drawing Access,http://mdweb.slac.stanford.edu/Doc%20Control.ODA.php,No,Internal Databases,
172,Facilities Service Request,https://famis.slac.stanford.edu/famis_fss/fweb.home,Yes,Internal Databases,
173,Requirements Management,https://slacspace.slac.stanford.edu/sites/ipm/requirementsmanagement/,Yes,Internal Databases,
174,SLACspeak Glossary,http://www.slac.stanford.edu/spires/slacspeak,No,Internal Databases,
175,Benefits (Stanford),http://benefitsu.stanford.edu/,No,Benefits,
176,BeWell @ Stanford,http://bewell.stanford.edu/,No,Benefits,
177,Stanford Help Center,http://helpcenter.stanford.edu/,No,Benefits,
178,Stanford WorkLife Office,http://www.stanford.edu/dept/worklife/cgi-bin/drupal/,No,Benefits,
179,Holiday Schedule,https://www-internal.slac.stanford.edu/humanresources/general/holiday-schedule.aspx,No,Holidays and Vacation,
180,Timekeeping Policy,https://www-internal.slac.stanford.edu/humanresources/general/time-keeping.aspx,No,Holidays and Vacation,
181,Arrillaga Recreation Center at SLAC,http://www-group.slac.stanford.edu/esh/medical/wellness/reccenter.htm,No,Life @ SLAC,
182,Cafeteria Menu,http://www2.slac.stanford.edu/cafe/,No,Life @ SLAC,
183,Wellness Classes,http://www-group.slac.stanford.edu/esh/medical/classes/WellnessClasses.html,No,Life @ SLAC,
184,Flea Market,https://news.slac.stanford.edu/flea-market,No,Life @ SLAC,
185,Maps:,http://www6.slac.stanford.edu/maps_directions.aspx,No,Life @ SLAC,
186,Visitor Map,http://www6.slac.stanford.edu/maps_directions_visitor_map.aspx,No,Life @ SLAC,
187,Meeting Rooms,http://www6.slac.stanford.edu/maps_directions_meeting_rooms.aspx,No,Life @ SLAC,
188,Building Information,https://www-internal.slac.stanford.edu/database/sebdefault.htm,Yes,Life @ SLAC,
189,Stanford Recreation Schedule,http://www.stanford.edu/dept/pe/open_rec/index.html,No,Life @ SLAC,
190,Employee Activity Groups,https://www-internal.slac.stanford.edu/humanresources/employee-relations/employee-activity-group.aspx,No,Life @ SLAC,
191,Discount Commuter Passes,https://www-internal.slac.stanford.edu/humanresources/records/pretax-transit-pass.aspx,Yes,Life @ SLAC,
