name,link,auth,category,subtype
Atlas@SLAC,http://www.slac.stanford.edu/exp/atlas/,No,Find a program,Particle Physics and Astrophysics Programs: Experiments
Astro Gamma,http://www-group.slac.stanford.edu/astrogamma/,No,Find a program,Particle Physics and Astrophysics Programs: Experiments
B Meson Decays (Group B),http://www.slac.stanford.edu/grp/eb/,No,Find a program,Particle Physics and Astrophysics Programs: Experiments
BaBar,http://www.slac.stanford.edu/BFROOT/,No,Find a program,Particle Physics and Astrophysics Programs: Experiments
Enriched Xenon Observatory (EXO),http://www-project.slac.stanford.edu/exo/,No,Find a program,Particle Physics and Astrophysics Programs: Experiments
Experimental Physics (Group C),http://www-group.slac.stanford.edu/ec/,No,Find a program,Particle Physics and Astrophysics Programs: Experiments
FGST,http://fgst.slac.stanford.edu/,No,Find a program,Particle Physics and Astrophysics Programs: Experiments
FLASH (E165),http://www.slac.stanford.edu/exp/e165/,No,Find a program,Particle Physics and Astrophysics Programs: Experiments
Large Synoptic Survey Telescope (LSST): Collaboration Member,http://www.lsst.org/lsst_home.shtml,No,Find a program,Particle Physics and Astrophysics Programs: Experiments
Microdrop Particle Search,http://www.slac.stanford.edu/exp/mps/FCS/FCS.htm,No,Find a program,Particle Physics and Astrophysics Programs: Experiments
Nuclear Spectroscopic Telescope Array (NuSTAR): Collaboration Member,http://www.nustar.caltech.edu/,No,Find a program,Particle Physics and Astrophysics Programs: Experiments
Particle Physics (Group K),http://www.slac.stanford.edu/grp/ek/,No,Find a program,Particle Physics and Astrophysics Programs: Experiments
Supernova / Acceleration Probe (SNAP): Collaboration Member,http://snap.lbl.gov/,No,Find a program,Particle Physics and Astrophysics Programs: Experiments
Theoretical Physics,http://www.slac.stanford.edu/grp/th/thinterest.html,No,Find a program,Particle Physics and Astrophysics Programs: Theory
