guid,name,link,auth,parent
rr-71,SSRL Seminar,http://www-ssrl.slac.stanford.edu/content/events/ssrl-presents-series,No,Scientific Seminar Series
rr-72,Stanford: Conferences and Symposia Calendar,http://events.stanford.edu/byCategory/3/,No,Scientific Seminar Series
rr-73,Stanford School of Earth Sciences,http://esdb.stanford.edu/esevents/FMPro?-db=ES+Calendar&amp;-lay=Web&amp;-format=week.html&amp;week=Current&amp;-token=All&amp;-find,No,Scientific Seminar Series
rr-74,Structural Molecular Biology (SMB) Summer School,http://smb.slac.stanford.edu/public/news/summer_school/,No,Scientific Seminar Series
rr-75,Theory Seminar,https://www.slac.stanford.edu/cgi-bin/meetingmaker/2512/webevent.cgi?cmd=opencal&amp;cal=cal6,No,Scientific Seminar Series
rr-76,LCLS,http://lcls.slac.stanford.edu/,No,Photon Science Programs
rr-77,LUSI,http://www-ssrl.slac.stanford.edu/lcls/lusi/,No,Photon Science Programs
rr-78,PULSE,http://www.stanford.edu/group/pulse_institute/,No,Photon Science Programs
rr-79,SIMES,http://simes.slac.stanford.edu,No,Photon Science Programs
rr-80,SSRL,http://www-ssrl.slac.stanford.edu/,No,Photon Science Programs
rr-81,SUNCAT,http://suncat.slac.stanford.edu,No,Photon Science Programs
rr-82,Accelerator Research A,http://www.slac.stanford.edu/grp/ara/,No,Particle Physics and Astrophysics Programs: Accelerators
rr-83,Accelerator Research B,http://www.slac.stanford.edu/grp/arb/,No,Particle Physics and Astrophysics Programs: Accelerators
rr-84,FACET,http://facet.slac.stanford.edu,No,Particle Physics and Astrophysics Programs: Accelerators
rr-85,ILC,http://www-project.slac.stanford.edu/ilc/,No,Particle Physics and Astrophysics Programs: Accelerators
rr-86,Laser Acceleration (E163),http://www-project.slac.stanford.edu/e163/,No,Particle Physics and Astrophysics Programs: Accelerators
rr-87,Accelerator Systems Division,https://www-internal.slac.stanford.edu/ad/ad.html,Yes,Particle Physics and Astrophysics Programs: Accelerators
rr-88,ORION,http://www-project.slac.stanford.edu/orion/,No,Particle Physics and Astrophysics Programs: Accelerators
rr-89,Plasma Wakefield (E157/E162/E164),http://www.slac.stanford.edu/grp/arb/e164/,No,Particle Physics and Astrophysics Programs: Accelerators
rr-90,Polarized Positron Source Studies (E166),http://www.slac.stanford.edu/exp/e166/,No,Particle Physics and Astrophysics Programs: Accelerators
rr-91,Atlas@SLAC,http://www.slac.stanford.edu/exp/atlas/,No,Particle Physics and Astrophysics Programs: Experiments
rr-92,Astro Gamma,http://www-group.slac.stanford.edu/astrogamma/,No,Particle Physics and Astrophysics Programs: Experiments
rr-93,B Meson Decays (Group B),http://www.slac.stanford.edu/grp/eb/,No,Particle Physics and Astrophysics Programs: Experiments
rr-94,BaBar,http://www.slac.stanford.edu/BFROOT/,No,Particle Physics and Astrophysics Programs: Experiments
rr-95,Enriched Xenon Observatory (EXO),http://www-project.slac.stanford.edu/exo/,No,Particle Physics and Astrophysics Programs: Experiments
rr-96,Experimental Physics (Group C),http://www-group.slac.stanford.edu/ec/,No,Particle Physics and Astrophysics Programs: Experiments
rr-97,FGST,http://fgst.slac.stanford.edu/,No,Particle Physics and Astrophysics Programs: Experiments
rr-98,FLASH (E165),http://www.slac.stanford.edu/exp/e165/,No,Particle Physics and Astrophysics Programs: Experiments
rr-99,Large Synoptic Survey Telescope (LSST): Collaboration Member,http://www.lsst.org/lsst_home.shtml,No,Particle Physics and Astrophysics Programs: Experiments
rr-100,Microdrop Particle Search,http://www.slac.stanford.edu/exp/mps/FCS/FCS.htm,No,Particle Physics and Astrophysics Programs: Experiments
rr-101,Nuclear Spectroscopic Telescope Array (NuSTAR): Collaboration Member,http://www.nustar.caltech.edu/,No,Particle Physics and Astrophysics Programs: Experiments
rr-102,Particle Physics (Group K),http://www.slac.stanford.edu/grp/ek/,No,Particle Physics and Astrophysics Programs: Experiments
rr-103,Supernova / Acceleration Probe (SNAP): Collaboration Member,http://snap.lbl.gov/,No,Particle Physics and Astrophysics Programs: Experiments
rr-104,Theoretical Physics,http://www.slac.stanford.edu/grp/th/thinterest.html,No,Particle Physics and Astrophysics Programs: Theory
